	20	32	
0xf056.png	f056	61526	
0xf057.png	f057	61527	
0xf058.png	f058	61528	
0xf059.png	f059	61529	
0xf05a.png	f05a	61530	
0xf05b.png	f05b	61531	
0xf05c.png	f05c	61532	
0xf05d.png	f05d	61533	
0xf05e.png	f05e	61534	
0xf05f.png	f05f	61535	
0xf060.png	f060	61536	
0xf061.png	f061	61537	
0xf062.png	f062	61538	
0xf063.png	f063	61539	
0xf064.png	f064	61540	
0xf065.png	f065	61541	
0xf066.png	f066	61542	
0xf067.png	f067	61543	
0xf068.png	f068	61544	
0xf069.png	f069	61545	
0xf06a.png	f06a	61546	
0xf06b.png	f06b	61547	
0xf06c.png	f06c	61548	
0xf06d.png	f06d	61549	
0xf06e.png	f06e	61550	
0xf06f.png	f06f	61551	
0xf070.png	f070	61552	
0xf071.png	f071	61553	
0xf072.png	f072	61554	
0xf073.png	f073	61555	
0xf074.png	f074	61556	
0xf075.png	f075	61557	
0xf076.png	f076	61558	
0xf077.png	f077	61559	
0xf078.png	f078	61560	
0xf079.png	f079	61561	
0xf07a.png	f07a	61562	
0xf07b.png	f07b	61563	
0xf07c.png	f07c	61564	
0xf07d.png	f07d	61565	
0xf07e.png	f07e	61566	
0xf082.png	f082	61570	
0xf083.png	f083	61571	
0xf084.png	f084	61572	
0xf085.png	f085	61573	
0xf086.png	f086	61574	
0xf087.png	f087	61575	
0xf088.png	f088	61576	
0xf089.png	f089	61577	
0xf08a.png	f08a	61578	
0xf08b.png	f08b	61579	
0xf096.png	f096	61590	
0xf097.png	f097	61591	
0xf098.png	f098	61592	
0xf099.png	f099	61593	
0xf09a.png	f09a	61594	
0xf09b.png	f09b	61595	
0xf09c.png	f09c	61596	
0xf09d.png	f09d	61597	
0xf09e.png	f09e	61598	
0xf09f.png	f09f	61599	
0xf0a1.png	f0a1	61601	
0xf0a2.png	f0a2	61602	
0xf0a3.png	f0a3	61603	
0xf0a4.png	f0a4	61604	
0xf0a5.png	f0a5	61605	
0xf0a6.png	f0a6	61606	
0xf0a7.png	f0a7	61607	
0xf0a8.png	f0a8	61608	
0xf0a9.png	f0a9	61609	
0xf0aa.png	f0aa	61610	
0xf0ab.png	f0ab	61611	
0xf0ac.png	f0ac	61612	
0xf0ad.png	f0ad	61613	
0xf0ae.png	f0ae	61614	
0xf0af.png	f0af	61615	
0xf0b0.png	f0b0	61616	
0xf0b1.png	f0b1	61617	
0xf0b2.png	f0b2	61618	
0xf0b3.png	f0b3	61619	
0xf0b4.png	f0b4	61620	
0xf0b5.png	f0b5	61621	
0xf0b6.png	f0b6	61622	
0xf0b7.png	f0b7	61623	
0xf0b8.png	f0b8	61624	
0xf0b9.png	f0b9	61625	
